reviews	PR
this product so far has not disappointed. my children love to use it and i like the ability to monitor control what content they see with ease.	USB-C Charging Cable
great for beginner or experienced person. bought as a gift and she loves it	Bose SoundSport Headphones
inexpensive tablet for him to use and learn on, step up from the nabi. he was thrilled with it, learn how to skype on it already.	Google Phone
i've had my fire hd 8 two weeks now and i love it. this tablet is a great value.we are prime members and that is where this tablet shines. i love being able to easily access all of the prime content as well as movies you can download and watch laterthis has a 1280800 screen which has some really nice look to it its nice and crisp and very bright infact it is brighter then the ipad pro costing 900 base model. the build on this fire is insanely awesome running at only 7.7mm thick and the smooth glossy feel on the back it is really amazing to hold its like the futuristic tab in ur hands.	Wired Headphones
i bought this for my grand daughter when she comes over to visit. i set it up with her as the user, entered her age and name and now amazon makes sure that she only accesses sites and content that are appropriate to her age. simple to do and she loves the capabilities. i also bought and installed a 64gig sd card which gives this little tablet plenty of storage. for the price i think this tablet is best one out there. you can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.	Wired Headphones
this amazon fire 8 inch tablet is the perfect size. i purchased it for my husband so that he has a bigger screen than just his phone. he had gotten me one a few years ago so i knew it would be a good purchase.	USB-C Charging Cable
great for ereading on the go, nice and light weight, and for the price point given, definitely worth the purchase.	Bose SoundSport Headphones
i gave this as a christmas gift to my inlaws, husband and uncle. they loved it and how easy they are to use with fantastic features!	USB-C Charging Cable
great as a device to read books. i like that it links with my borrowed library ebooks. switched from another popular tablet brand and i am happy with the choice i made. it took some time to get books from my previous nonkindle reader, but finally figured out a way!	Macbook Pro Laptop
i love ordering books and reading them with the reader.	Wired Headphones
not easy for elderly users cease of ads that pop up.	Google Phone
excellent product. easy to use, large screen makes watching movies and reading easier.	Lightning Charging Cable
wanted my father to have his first tablet and this is a very good value. he can watch movies and play a few games. easy enough for him to use.	27in 4K Gaming Monitor
simply does everything i need. thank youand silk works wonders	AA Batteries (4-pack)
got it as a present and love the size of the screen	Lightning Charging Cable
the kindle is easiest to use, graphics and screen crisp, clear, brilliant colors.	Apple Airpods Headphones
nice reader. almost perfect for what i wantneed. good bargain	USB-C Charging Cable
i really like this tablet. i would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.	Google Phone
great video quality lots of fun apps fun for the whole family	USB-C Charging Cable
love love love my kindle fire 8.this is what my 9 yr old granddaughter said when i bought this for her at christmas.we have purchased kindled in the past but this one has been the best.love the fact that you can now use a memory card in it.that helps so much when you use it for books.games.music and viedos.thanks	AAA Batteries (4-pack)
excellent tablet with nice screen. i wish amazon would pre install the play store, this would have been perfect.	Apple Airpods Headphones
preloaded with the reading app from kindle but expandable with other apps. perfect for travel. carry your library, games and productivity apps in a small footprint.	Apple Airpods Headphones
very happy with this product and easy to use.picture is clear, takes great pictures.	Apple Airpods Headphones
