Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Order Time
176558,USB-C Charging Cable,2,11.95,2019-04-19,"917 1st St, Dallas, TX 75001",08:46:00 AM
176559,Bose SoundSport Headphones,1,99.99,2019-04-07,"682 Chestnut St, Boston, MA 02215",10:30:00 PM
176560,Google Phone,1,600,2019-04-12,"669 Spruce St, Los Angeles, CA 90001",02:38:00 PM
176560,Wired Headphones,1,11.99,2019-04-12,"669 Spruce St, Los Angeles, CA 90001",02:38:00 PM
176561,Wired Headphones,1,11.99,2019-04-30,"333 8th St, Los Angeles, CA 90001",09:27:00 AM
176562,USB-C Charging Cable,1,11.95,2019-04-29,"381 Wilson St, San Francisco, CA 94016",01:03:00 PM
176563,Bose SoundSport Headphones,1,99.99,2019-04-02,"668 Center St, Seattle, WA 98101",07:46:00 AM
176564,USB-C Charging Cable,1,11.95,2019-04-12,"790 Ridge St, Atlanta, GA 30301",10:58:00 AM
176565,Macbook Pro Laptop,1,1700,2019-04-24,"915 Willow St, San Francisco, CA 94016",10:38:00 AM
176566,Wired Headphones,1,11.99,2019-04-08,"83 7th St, Boston, MA 02215",02:05:00 PM
176567,Google Phone,1,600,2019-04-18,"444 7th St, Los Angeles, CA 90001",05:18:00 PM
176568,Lightning Charging Cable,1,14.95,2019-04-15,"438 Elm St, Seattle, WA 98101",12:18:00 PM
176569,27in 4K Gaming Monitor,1,389.99,2019-04-16,"657 Hill St, Dallas, TX 75001",07:23:00 PM
176570,AA Batteries (4-pack),1,3.84,2019-04-22,"186 12th St, Dallas, TX 75001",03:09:00 PM
176571,Lightning Charging Cable,1,14.95,2019-04-19,"253 Johnson St, Atlanta, GA 30301",02:29:00 PM
176572,Apple Airpods Headphones,1,150,2019-04-04,"149 Dogwood St, New York City, NY 10001",08:30:00 PM
176573,USB-C Charging Cable,1,11.95,2019-04-27,"214 Chestnut St, San Francisco, CA 94016",06:41:00 PM
176574,Google Phone,1,600,2019-04-03,"20 Hill St, Los Angeles, CA 90001",07:42:00 PM
176574,USB-C Charging Cable,1,11.95,2019-04-03,"20 Hill St, Los Angeles, CA 90001",07:42:00 PM
176575,AAA Batteries (4-pack),1,2.99,2019-04-27,"433 Hill St, New York City, NY 10001",12:30:00 AM
176576,Apple Airpods Headphones,1,150,2019-04-28,"771 Ridge St, Los Angeles, CA 90001",11:42:00 AM
176577,Apple Airpods Headphones,1,150,2019-04-04,"260 Spruce St, Dallas, TX 75001",07:25:00 PM
176578,Apple Airpods Headphones,1,150,2019-04-09,"513 Church St, Boston, MA 02215",11:35:00 PM
176579,AA Batteries (4-pack),1,3.84,2019-04-11,"886 Jefferson St, New York City, NY 10001",10:23:00 AM
176580,USB-C Charging Cable,1,11.95,2019-04-05,"886 Willow St, Los Angeles, CA 90001",12:35:00 AM
176581,iPhone,1,700,2019-04-09,"84 Jackson St, Boston, MA 02215",09:38:00 PM
176582,Bose SoundSport Headphones,1,99.99,2019-04-27,"178 Lincoln St, Atlanta, GA 30301",12:20:00 PM
176583,AAA Batteries (4-pack),2,2.99,2019-04-20,"146 Jackson St, Portland, OR 97035",12:00:00 PM
176584,Flatscreen TV,1,300,2019-04-24,"936 Church St, San Francisco, CA 94016",08:39:00 PM
176585,Bose SoundSport Headphones,1,99.99,2019-04-07,"823 Highland St, Boston, MA 02215",11:31:00 AM
176586,AAA Batteries (4-pack),2,2.99,2019-04-10,"365 Center St, San Francisco, CA 94016",05:00:00 PM
176586,Google Phone,1,600,2019-04-10,"365 Center St, San Francisco, CA 94016",05:00:00 PM
176587,27in FHD Monitor,1,149.99,2019-04-29,"557 5th St, Los Angeles, CA 90001",07:38:00 PM
176588,20in Monitor,1,109.99,2019-04-02,"765 Cherry St, Seattle, WA 98101",04:00:00 AM
176589,Lightning Charging Cable,1,14.95,2019-04-04,"846 Highland St, Atlanta, GA 30301",12:23:00 PM
176590,Google Phone,1,600,2019-04-11,"873 6th St, New York City, NY 10001",11:46:00 AM
176591,Apple Airpods Headphones,1,150,2019-04-21,"600 Maple St, Austin, TX 73301",07:21:00 AM
176592,USB-C Charging Cable,1,11.95,2019-04-27,"352 4th St, Los Angeles, CA 90001",01:04:00 PM
176593,Lightning Charging Cable,2,14.95,2019-04-15,"906 7th St, Portland, OR 97035",01:45:00 PM
176594,Wired Headphones,1,11.99,2019-04-17,"63 Maple St, San Francisco, CA 94016",11:04:00 PM
176595,Wired Headphones,3,11.99,2019-04-02,"383 6th St, Los Angeles, CA 90001",09:11:00 AM
176596,Apple Airpods Headphones,1,150,2019-04-27,"572 Meadow St, Dallas, TX 75001",08:11:00 PM
176597,USB-C Charging Cable,1,11.95,2019-04-19,"681 11th St, San Francisco, CA 94016",01:39:00 PM
176598,AAA Batteries (4-pack),2,2.99,2019-04-21,"294 Park St, San Francisco, CA 94016",08:33:00 PM
176599,Lightning Charging Cable,1,14.95,2019-04-11,"279 Maple St, New York City, NY 10001",03:25:00 PM
176600,27in 4K Gaming Monitor,1,389.99,2019-04-30,"87 West St, Boston, MA 02215",03:54:00 PM
176601,USB-C Charging Cable,1,11.95,2019-04-02,"754 10th St, Los Angeles, CA 90001",10:32:00 PM
176602,Lightning Charging Cable,1,14.95,2019-04-30,"9 Jefferson St, Dallas, TX 75001",09:39:00 AM
176603,USB-C Charging Cable,1,11.95,2019-04-01,"858 6th St, San Francisco, CA 94016",07:46:00 AM
176604,USB-C Charging Cable,1,11.95,2019-04-02,"462 11th St, San Francisco, CA 94016",10:57:00 AM
176605,USB-C Charging Cable,1,11.95,2019-04-15,"717 Pine St, San Francisco, CA 94016",04:29:00 PM
176606,LG Dryer,1,600.0,2019-04-21,"487 Maple St, San Francisco, CA 94016",02:16:00 PM
176607,AAA Batteries (4-pack),2,2.99,2019-04-18,"689 10th St, Boston, MA 02215",12:11:00 PM
176608,iPhone,1,700,2019-04-11,"15 Cherry St, San Francisco, CA 94016",12:01:00 PM
176609,Apple Airpods Headphones,1,150,2019-04-11,"267 11th St, Austin, TX 73301",04:59:00 PM
176610,AAA Batteries (4-pack),1,2.99,2019-04-26,"382 River St, Dallas, TX 75001",12:40:00 AM
176611,Bose SoundSport Headphones,1,99.99,2019-04-30,"971 Sunset St, San Francisco, CA 94016",01:16:00 PM
176612,Apple Airpods Headphones,1,150,2019-04-04,"149 North St, Seattle, WA 98101",07:48:00 PM
176613,USB-C Charging Cable,2,11.95,2019-04-26,"405 4th St, New York City, NY 10001",06:58:00 PM
176614,AA Batteries (4-pack),1,3.84,2019-04-07,"647 Jackson St, San Francisco, CA 94016",09:01:00 PM
176615,Lightning Charging Cable,1,14.95,2019-04-30,"833 River St, Dallas, TX 75001",10:35:00 AM
176616,USB-C Charging Cable,1,11.95,2019-04-05,"380 Washington St, San Francisco, CA 94016",08:40:00 PM
176617,Apple Airpods Headphones,1,150,2019-04-25,"319 8th St, Portland, OR 97035",08:03:00 AM
176618,Lightning Charging Cable,2,14.95,2019-04-18,"273 South St, San Francisco, CA 94016",09:44:00 PM
176619,Flatscreen TV,1,300,2019-04-16,"116 North St, Los Angeles, CA 90001",06:37:00 PM
