reviews	PR
This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.	USB-C Charging Cable
great for beginner or experienced person. Bought as a gift and she loves it	Bose SoundSport Headphones
Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already...	Google Phone
I've had my Fire HD 8 two weeks now and I love it. This tablet is a great value.We are Prime Members and that is where this tablet SHINES. I love being able to easily access all of the Prime content as well as movies you can download and watch laterThis has a 1280/800 screen which has some really nice look to it its nice and crisp and very bright infact it is brighter then the ipad pro costing $900 base model. The build on this fire is INSANELY AWESOME running at only 7.7mm thick and the smooth glossy feel on the back it is really amazing to hold its like the futuristic tab in ur hands.	Wired Headphones
I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.	Wired Headphones
This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good purchase.	USB-C Charging Cable
Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.	Bose SoundSport Headphones
I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!	USB-C Charging Cable
Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!	Macbook Pro Laptop
I love ordering books and reading them with the reader.	Wired Headphones
Not easy for elderly users cease of ads that pop up.	Google Phone
Excellent product. Easy to use, large screen makes watching movies and reading easier.	Lightning Charging Cable
Wanted my father to have his first tablet and this is a very good value. He can watch movies and play a few games. Easy enough for him to use.	27in 4K Gaming Monitor
Simply does everything I need. Thank youAnd silk works wonders	AA Batteries (4-pack)
Got it as a present and love the size of the screen	Lightning Charging Cable
The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors.	Apple Airpods Headphones
nice reader. almost perfect for what i want/need. good bargain	USB-C Charging Cable
I really like this tablet. I would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.	Google Phone
Great video quality lots of fun apps fun for the whole family	USB-C Charging Cable
Love love love my kindle fire 8.....this is what my 9 yr old granddaughter said when I bought this for her at Christmas..we have purchased kindled in the past but this one has been the best....love the fact that you can now use a memory card in it...that helps so much when you use it for books...games...music and viedos...thanks	AAA Batteries (4-pack)
Excellent tablet with nice screen. I wish Amazon would pre install the play store, this would have been perfect.	Apple Airpods Headphones
Preloaded with the reading app from Kindle but expandable with other apps. Perfect for travel. Carry your library, games and productivity apps in a small footprint.	Apple Airpods Headphones
